date,open,high,low,close,volume,SMA_20,sma_20,SMA_50,sma_50,SMA_200,sma_200,RSI_14,MACD_line,MACD_signal,MACD_hist,RSI_21,signal,positions,RSI_8,RSI_10,RSI_13,RSI_20,RSI_15,RSI_18,RSI_12,RSI_17,RSI_7,RSI_19,RSI_11,RSI_9,RSI_16,ATR_18,atr,position,price_return,strategy_return,equity,pnl,cumulative_pnl,position_size_units,position_size_units_signed,notional_exposure,stop_loss_price,take_profit_price,drawdown_pct,halt_trading,risk_adjusted_signal,strategy_returns,cumulative_returns,drawdown
2020-12-02,122.02,123.37,120.89,123.08,89004200,,,,,,,,0.0,0.0,0.0,,0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,0.0,0.0,0.0
2020-12-03,123.52,123.78,122.21,122.94,78967630,,,,,,,,-0.011168091168102023,-0.002233618233620405,-0.00893447293448162,,0,0.0,,,,,,,,,,,,,,,,0.0,-0.0011374715632109789,-0.0,100000.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,0.0,0.0,0.0
2020-12-04,122.6,122.86,121.52,122.25,78260421,,,,,,,,-0.07483348349447283,-0.01675359128579089,-0.05807989220868194,,0,0.0,,,,,,,,,,,,,,,,0.0,-0.005612493899463167,-0.0,100000.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,0.0,0.0,0.0
2020-12-07,122.31,124.57,122.25,123.75,86712000,,,,,,,,-0.004202853738831891,-0.01424344377639909,0.0100405900375672,,0,0.0,,,,,,,,,,,,,,,,0.0,0.012269938650306678,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,0.0,0.0,0.0
2020-12-08,124.37,124.98,123.09,124.38,82225512,,,,,,,,0.101438840271868,0.008893013033254328,0.09254582723861368,,0,0.0,,,,,,,,,,,,,,,,0.0,0.005090909090909035,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,0.0,0.0,0.0
2020-12-09,124.53,125.95,121.0,121.78,115089200,,,,,,,,-0.02435685633251694,0.0022430391601000743,-0.026599895492617015,,0,0.0,,,,,,,,,,,,,,,,0.0,-0.0209036822640295,-0.0,100000.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,0.0,0.0,0.0
2020-12-10,120.5,123.87,120.15,123.24,81312200,,,,,,,,-0.006169930807942592,0.0005604451664915412,-0.006730375974434133,,0,0.0,,,,,,,,,51.82238467363272,,,,,,,0.0,0.011988832320578124,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,0.0,0.0,0.0
2020-12-11,122.43,122.76,120.55,122.41,86939800,,,,,,,,-0.05806142869259645,-0.011163929605326058,-0.046897499087270395,,0,0.0,44.33872831127945,,,,,,,,44.10406157896728,,,,,,,0.0,-0.006734826355079493,-0.0,100000.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,0.0,0.0,0.0
2020-12-14,122.6,123.35,121.54,121.78,79184500,,,,,,,,-0.14831190220687063,-0.03859352412563497,-0.10971837808123566,,0,0.0,39.45455262997826,,,,,,,,38.964940761446044,,,39.82150102377237,,,,0.0,-0.005146638346540278,-0.0,100000.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,0.0,0.0,0.0
2020-12-15,124.34,127.9,124.13,127.88,157572262,,,,,,,,0.26927888808486955,0.022980958316465933,0.24629792976840362,,0,0.0,72.71448741790665,71.41604619485302,,,,,,,73.64946543476451,,,71.99126934796077,,,,0.0,0.050090326818853725,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,0.0,0.0,0.0
2020-12-16,127.41,128.37,126.56,127.81,98208600,,,,,,,,0.5877984088196087,0.13594444841709447,0.4518539604025142,,0,0.0,72.19436763870725,70.94318460099126,,,,,,,73.0933699653188,,70.49149862136548,71.49784535445342,,,,0.0,-0.0005473881764153088,-0.0,100000.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,0,0.0,0.0,0.0
